BusNo,Location,LandCost,PopulationDensity,NearbyCommercial,ProximityToHighway
2,DLF Phase 1,2200,1400,3,2.5
3,DLF Phase 2,2400,1600,2,3.0
4,DLF Phase 3,2100,1350,2,3.5
5,DLF Phase 4,2600,1800,1,4.2
6,DLF Phase 5,2500,1700,1,4.0
7,Sector 14,2100,1300,2,3.8
8,Sector 15,2150,1320,1,3.2
9,Sector 21,2000,1250,1,3.0
10,Sector 22,2100,1400,1,2.9
11,Sector 23,2050,1450,1,2.8
12,Sector 28,2350,1300,2,3.4
13,Sector 29,5000,2500,10,1.0
14,Sector 31,2150,1325,2,2.7
15,Sector 38,2050,1300,1,3.6
16,Sector 43,2600,2000,3,2.2
17,Sector 44,4700,2250,7,1.5
18,Sector 45,2300,1500,2,3.9
19,Sector 46,4600,1800,4,2.3
20,Sector 47,2200,1550,2,3.3
21,Sector 48,4400,1850,3,2.6
22,Sector 49,2300,1250,1,3.4
23,Sector 50,2350,1300,1,3.1
24,Sector 51,2100,1200,1,3.8
25,Sector 52,2300,1300,1,3.5
26,Sector 53,2000,1100,1,3.9
27,Sector 54,2050,1200,1,4.1
28,Sector 55,2150,1250,2,3.7
29,Sector 56,2250,1300,2,3.2
30,Sector 57,2400,1500,2,3.5
31,Sector 58,2150,1200,1,4.0
32,Sector 59,2100,1220,1,4.2
33,Sector 60,2200,1260,1,3.3
34,Sector 61,2250,1300,1,3.5
35,Sector 62,2300,1350,2,3.0
36,Sector 63,2300,1400,2,2.7
37,Sector 65,2400,1500,2,2.6
38,Sector 66,2500,1600,2,2.2
39,Sector 67,2450,1450,2,2.4
40,MG Road,6000,3000,15,0.5
41,Cyber City,8000,4000,18,0.4
42,Udyog Vihar,6500,3200,12,1.0
43,Hero Honda Chowk,5000,2700,8,2.0
44,IMT Manesar,3500,1000,2,4.0
45,Sohna Road,5500,2900,9,1.3
46,Palam Vihar,2400,1800,3,2.7
47,South City 1,2300,1350,2,3.8
48,South City 2,2350,1400,2,3.9
49,Suncity,2250,1380,2,3.5
50,Golf Course Road,7000,3800,16,0.8